Country,GDP,Infant mortality (per 1000 births),Life_expectancy,Minimum_wage,Health_expenditure,Physicians,Population,Unemployment,Latitude,Longitude
Papua New Guinea,24969611435.00,38.00,64.30,1.16,0.06,0.07,8776109.00,0.02,-6.31,143.96
Paraguay,38145288940.00,17.20,74.10,1.55,0.37,1.35,7044636.00,0.05,-23.44,-58.44
Peru,226848000000.00,11.10,76.50,1.28,0.31,1.27,32510453.00,0.03,-9.19,-75.02
Philippines,376796000000.00,22.50,71.10,1.12,0.54,0.60,108116615.00,0.02,12.88,121.77
Poland,592164000000.00,3.80,77.60,2.93,0.23,2.38,37970874.00,0.03,51.92,19.15
Portugal,237686000000.00,3.10,81.30,3.78,0.28,5.12,10269417.00,0.06,39.40,-8.22
Qatar,183466000000.00,5.80,80.10,,0.06,2.49,2832067.00,0.00,25.35,51.18
Romania,250077000000.00,6.10,75.40,2.25,0.21,2.98,19356544.00,0.04,45.94,24.97
Russia,1699880000000.00,6.10,72.70,0.53,0.36,4.01,144373535.00,0.05,61.52,105.32
Rwanda,10122472590.00,27.00,68.70,,0.26,0.13,12626950.00,0.01,-1.94,29.87
Saint Kitts and Nevis,1050992593.00,9.80,71.30,3.33,0.57,2.52,52823.00,,17.36,-62.78
Saint Lucia,2122450630.00,14.90,76.10,,0.48,0.64,182790.00,0.21,13.91,-60.98
Saint Vincent and the Grenadines,825385185.00,14.80,72.40,1.16,0.21,0.66,100455.00,0.19,12.98,-61.29
Samoa,850655017.00,13.60,73.20,0.78,0.12,0.34,202506.00,0.08,-13.76,-172.10
San Marino,1637931034.00,1.70,85.40,,0.18,6.11,33860.00,,43.94,12.46
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,429016605.00,24.40,70.20,,0.12,0.05,215056.00,0.13,,
Saudi Arabia,792967000000.00,6.00,75.00,3.85,0.15,2.61,34268528.00,0.06,23.89,45.08
Senegal,23578084052.00,31.80,67.70,0.31,0.44,0.07,16296364.00,0.07,14.50,-14.45
Serbia,51409167351.00,4.80,75.50,1.57,0.41,3.11,6944975.00,0.13,44.02,21.01
Seychelles,1698843063.00,12.40,72.80,2.00,0.03,0.95,97625.00,,-4.68,55.49
Sierra Leone,3941474311.00,78.50,54.30,0.57,0.38,0.03,7813215.00,0.04,8.46,-11.78
Singapore,372063000000.00,2.30,83.10,,0.37,2.29,5703569.00,0.04,1.35,103.82
Slovakia,105422000000.00,4.60,77.20,3.11,0.18,3.42,5454073.00,0.06,48.67,19.70
Slovenia,53742159517.00,1.70,81.00,5.25,0.13,3.09,2087946.00,0.04,46.15,15.00
Solomon Islands,1425074226.00,17.10,72.80,0.40,0.03,0.19,669823.00,0.01,-9.65,160.16
Somalia,4720727278.00,76.60,57.10,,,0.02,15442905.00,0.11,5.15,46.20
South Africa,351432000000.00,28.50,63.90,,0.08,0.91,58558270.00,0.28,-30.56,22.94
South Korea,2029000000000.00,2.70,82.60,6.49,0.37,2.36,51709098.00,0.04,35.91,127.77
South Sudan,11997800751.00,63.70,57.60,,0.61,,11062113.00,0.12,6.88,31.31
Spain,1394120000000.00,2.50,83.30,5.60,0.24,3.87,47076781.00,0.14,40.46,-3.75
Sri Lanka,84008783756.00,6.40,76.80,0.35,0.38,1.00,21803000.00,0.04,7.87,80.77
Sudan,18902284476.00,42.10,65.10,0.41,0.63,0.26,42813238.00,0.17,12.86,30.22
Suriname,3985250737.00,16.90,71.60,,0.10,1.21,581372.00,0.07,3.92,-56.03
Sweden,530833000000.00,2.20,82.50,,0.15,3.98,10285453.00,0.06,60.13,18.64
Switzerland,703082000000.00,3.70,83.60,,0.28,4.30,8574832.00,0.05,46.82,8.23
Syria,40405006007.00,14.00,71.80,1.02,0.54,1.22,17070135.00,0.08,34.80,39.00
Tajikistan,8116626794.00,30.40,70.90,0.23,0.63,1.70,9321018.00,0.11,38.86,71.28
Tanzania,63177068175.00,37.60,65.00,0.09,0.26,0.01,58005463.00,0.02,-6.37,34.89
Thailand,543650000000.00,7.80,76.90,1.06,0.12,0.81,69625582.00,0.01,15.87,100.99
East Timor,1673540300.00,39.30,69.30,0.60,0.10,0.72,3500000.00,0.05,-8.87,125.73
Togo,5459979417.00,47.40,60.80,0.34,0.51,0.08,8082366.00,0.02,8.62,0.82
Tonga,450353314.00,13.40,70.80,,0.10,0.52,100209.00,0.01,-21.18,-175.20
Trinidad and Tobago,24100202834.00,16.40,73.40,2.25,0.37,4.17,1394973.00,0.03,10.69,-61.22
Tunisia,38797709924.00,14.60,76.50,0.47,0.40,1.30,11694719.00,0.16,33.89,9.54
Turkey,754412000000.00,9.10,77.40,3.45,0.17,1.85,83429615.00,0.13,38.96,35.24
Turkmenistan,40761142857.00,39.30,68.10,0.88,0.71,2.22,5942089.00,0.04,38.97,59.56
Tuvalu,47271463.00,20.60,,,0.01,0.92,11646.00,,-7.11,177.65
Uganda,34387229486.00,33.80,63.00,0.01,0.41,0.17,44269594.00,0.02,1.37,32.29
Ukraine,153781000000.00,7.50,71.60,0.84,0.48,2.99,44385155.00,0.09,48.38,31.17
United Arab Emirates,421142000000.00,6.50,77.80,,0.18,2.53,9770529.00,0.02,23.42,53.85
United Kingdom,2827110000000.00,3.60,81.30,10.13,0.15,2.81,66834405.00,0.04,55.38,-3.44
United States of America,21427700000000.00,5.60,78.50,7.25,0.11,2.61,328239523.00,0.15,37.09,-95.71
Uruguay,56045912952.00,6.40,77.80,1.66,0.16,5.05,3461734.00,0.09,-32.52,-55.77
Uzbekistan,57921286440.00,19.10,71.60,0.24,0.43,2.37,33580650.00,0.06,41.38,64.59
Vanuatu,917058851.00,22.30,70.30,1.56,0.09,0.17,299882.00,0.04,-15.38,166.96
Venezuela,482359000000.00,21.40,72.10,0.01,0.46,1.92,28515829.00,0.09,6.42,-66.59
Vietnam,261921000000.00,16.50,75.30,0.73,0.44,0.82,96462106.00,0.02,14.06,108.28
Yemen,26914402224.00,42.90,66.10,,0.81,0.31,29161922.00,0.13,15.55,48.52
Zambia,23064722446.00,40.40,63.50,0.24,0.28,1.19,17861030.00,0.11,-13.13,27.85
Zimbabwe,21440758800.00,33.90,61.20,,0.26,0.21,14645468.00,0.05,-19.02,29.15
